"id","failure_group_id","title","description","deleted_at","created_at","updated_at"
"1","1","Плановое отключение питания",,NULL,"2022-01-23 16:01:05","2022-01-23 16:01:05"
"2","1","Аварийное отключение питания",,NULL,"2022-01-23 16:01:05","2022-01-23 16:01:05"
"3","1","Отсутствие электроснабжения","Отсутствие электроснабжения",NULL,"2022-01-23 16:01:05","2022-01-23 16:01:05"
"4","2","Низкое/нестабильное качество сигнала",,NULL,"2022-01-23 16:01:05","2022-01-23 16:01:05"
"5","2","Снижение пропускной способности канала",,NULL,"2022-01-23 16:01:05","2022-01-23 16:01:05"
"6","2","Отсутствие связи","Отсутствие связи",NULL,"2022-01-23 16:01:05","2022-01-23 16:01:05"
"7","3","Выход из строя роутера/модема",,NULL,"2022-01-23 16:01:05","2022-01-23 16:01:05"
"8","3","Сбой/некорректные настройки роутера/модема",,NULL,"2022-01-23 16:01:05","2022-01-23 16:01:05"
"9","3","Зависание модема/роутера",,NULL,"2022-01-23 16:01:05","2022-01-23 16:01:05"
"10","3","Выход из строя сим-карты",,NULL,"2022-01-23 16:01:05","2022-01-23 16:01:05"
"11","4","Срабатывание УЗП",,NULL,"2022-01-23 16:01:05","2022-01-23 16:01:05"
"12","4","Выход из строя УЗП",,NULL,"2022-01-23 16:01:05","2022-01-23 16:01:05"
"13","4","Выход из строя преобразователя напряжения",,NULL,"2022-01-23 16:01:05","2022-01-23 16:01:05"
"14","4","Выход из строя контроллера заряда",,NULL,"2022-01-23 16:01:05","2022-01-23 16:01:05"
"15","4","Выход из строя ЗУ",,NULL,"2022-01-23 16:01:05","2022-01-23 16:01:05"
"16","4","Выход из строя АКБ",,NULL,"2022-01-23 16:01:05","2022-01-23 16:01:05"
"17","4","Глубокий разряд АКБ",,NULL,"2022-01-23 16:01:05","2022-01-23 16:01:05"
"18","4","Нестабильное электроснабжение","Нестабильное электроснабжение",NULL,"2022-01-23 16:01:05","2022-01-23 16:01:05"
"19","4","Нарушение контакта","Нарушение контакта",NULL,"2022-01-23 16:01:05","2022-01-23 16:01:05"
"20","4","КЗ на фазе","КЗ на фазе",NULL,"2022-01-23 16:01:05","2022-01-23 16:01:05"
"21","5","Загрязнение стекла",,NULL,"2022-01-23 16:01:05","2022-01-23 16:01:05"
