"id","account_id","alias","title","description","incident_script","recovery_script","config","deleted_at","created_at","updated_at"
"1","1","no_data","Полное отсутствие данных с объекта/полное отключение","Отсутствие данных, превышающее регламентные сроки","return getTimedData(objects.map(o => o.id), incidentType.config.timeout)","const recoveredObjects = await getRecoveredTimedData(objects.map(o => o.id), incidentType.config.timeout)
                return incidents.filter(incident => incident.task_id === null && recoveredObjects.map(item => parseInt(item.object_id)).includes(incident.service_object_id))
",NULL,NULL,"2022-01-23 16:04:19","2022-01-23 16:04:19"
"2","1","comp_no_data","Отсутствие данных с компонента объекта","Отсутствие данных с отдельного датчика/датчиков",NULL,NULL,NULL,NULL,"2022-01-23 16:05:33","2022-01-23 16:05:33"
"3","1","incorrect_data","Некорректные данные с компонента или объекта в целом","С объекта приходят некорректные данные",NULL,NULL,NULL,NULL,"2022-01-23 16:05:33","2022-01-23 16:05:33"
"4","1","dirty_cam","Загрязнение/замерзание/запотевание стекла камеры","Ухудшение качества изображения камеры, связанное с отложениями на стекле",NULL,NULL,NULL,NULL,"2022-01-23 16:05:34","2022-01-23 16:05:34"
"5","1","defocus","Расфокусировка камеры","Ухудшение качества изображения камеры, связанное с расфокусировкой",NULL,NULL,NULL,NULL,"2022-01-23 16:05:35","2022-01-23 16:05:35"
"6","1","ptz_failure","Сбой работы PTZ","Нарушение маршрута съемки камеры",NULL,NULL,NULL,NULL,"2022-01-23 16:05:35","2022-01-23 16:05:35"
"7","1","irregular_data","Нерегулярное поступление данных","Данные поступают с перерывами",NULL,NULL,NULL,NULL,"2022-01-23 16:05:35","2022-01-23 16:05:35"
"8","1","damage","Механическое повреждение","Повреждение объекта, связанное с внешним воздействием",NULL,NULL,NULL,NULL,"2022-01-23 16:05:36","2022-01-23 16:05:36"
"9","1","high_traffic_consupmtion","Повышенное потребление трафика","Объем трафика значительно превосходящий среднестатистический для данного типа объектов",NULL,NULL,NULL,NULL,"2022-01-23 16:05:36","2022-01-23 16:05:36"
"10","1","vms_error","Проблема с выводом/отображением информации на ТПИ/ЗПИ","Информация на ТПИ/ЗПИ либо не выводится, либо выводится некорректно",NULL,NULL,NULL,NULL,"2022-01-23 16:05:36","2022-01-23 16:05:36"
"11","1","solar_panel_defect","Нулевые данные","Отсутствие тока и напряжения заряда солнечной панели","const minH = 9
const maxH = 13
const incidents = []
for (const obj of objects) {
  const data = await getMaxData(obj.id)
  if (data.length) {
     const _data = data[0].data.reduce((carry, item) => {
      carry[Object.keys(item)[0]] = parseFloat(Object.values(item)[0])
      return carry
    }, {})

    const dt = moment(data[0].dt)
    if (
      dt.hour() >= minH && dt.hour() <= maxH
      && _data.saVolt === 0
      && _data.saCurr === 0
    ) {
      incidents.push({
        object_id: obj.id,
        dt: data[0].dt
      })
    }
  }
}
return incidents","return []",NULL,NULL,"2022-01-23 16:05:37","2023-08-04 04:50:49"
