"id","process_id","title","action_title","action_icon","color","is_start","is_fulfilled","shifts_deadline","is_closed","is_canceled","infl_fulfillment","reassignable","requires","deleted_at","created_at","updated_at"
"1","1","Поставлена","Вернуть на доработку","mdi-backup-restore","#D32F2F","1","0","0","0","0","1","1","{""image"": 0, ""report"": 1, ""approvement"": 0, ""failure_type"": 0}",NULL,"2022-01-23 16:01:04","2022-01-23 16:01:04"
"2","1","Принята","Принять в работу","mdi-play-circle-outline","#FFA000","0","0","0","0","0","1","0","{""image"": 0, ""timer"": 1, ""report"": 0, ""approvement"": 0, ""failure_type"": 0}",NULL,"2022-01-23 16:01:04","2022-01-23 16:01:04"
"3","1","Выполнена","Отметить выполненной","mdi-stop-circle-outline","#AFB42B","0","1","0","0","0","1","0","{""image"": 1, ""report"": 1, ""operations"": 1, ""approvement"": 0, ""failure_type"": 1}",NULL,"2022-01-23 16:01:04","2022-01-23 16:01:04"
"4","1","Отложена","Отложить","mdi-pause-circle-outline","#AFB42B","0","0","1","0","0","1","0","{""image"": 0, ""report"": 1, ""approvement"": 1, ""failure_type"": 0}",NULL,"2022-01-23 16:01:04","2022-01-23 16:01:04"
"5","1","Закрыта","Закрыть","mdi-check-circle-outline","#558B2F","0","1","0","1","0","0","0","{""image"": 0, ""report"": 0, ""approvement"": 0, ""failure_type"": 0}",NULL,"2022-01-23 16:01:04","2022-01-23 16:01:04"
"6","1","Произошло самовосстановление","Отметить самовосстановившимся","mdi-recycle","#0097A7","0","1","0","0","0","1","0","{""image"": 0, ""report"": 0, ""approvement"": 0, ""failure_type"": 0}",NULL,"2022-01-23 16:01:04","2022-01-23 16:01:04"
"7","1","Отменена","Отменить","mdi-close-circle-outline","#0277BD","0","1","0","1","1","1","0","{""image"": 0, ""report"": 1, ""approvement"": 0, ""failure_type"": 0}",NULL,"2022-01-23 16:01:04","2022-01-23 16:01:04"
"8","2","Поставлена","Вернуть на доработку","mdi-backup-restore","#D32F2F","1","0","0","0","0","1","1","{""image"": 0, ""report"": 1, ""approvement"": 0, ""failure_type"": 0}",NULL,"2022-01-23 16:01:04","2022-01-23 16:01:04"
"9","2","Принята","Принять в работу","mdi-play-circle-outline","#FFA000","0","0","0","0","0","1","0","{""image"": 0, ""timer"": 1, ""report"": 0, ""approvement"": 0, ""failure_type"": 0}",NULL,"2022-01-23 16:01:04","2022-01-23 16:01:04"
"10","2","Выполнена","Отметить выполненной","mdi-stop-circle-outline","#AFB42B","0","1","0","0","0","1","0","{""image"": 1, ""report"": 1, ""operations"": 1, ""approvement"": 0, ""failure_type"": 0}",NULL,"2022-01-23 16:01:04","2022-01-23 16:01:04"
"11","2","Отложена","Отложить","mdi-pause-circle-outline","#AFB42B","0","0","1","0","0","1","0","{""image"": 0, ""report"": 1, ""approvement"": 1, ""failure_type"": 0}",NULL,"2022-01-23 16:01:04","2022-01-23 16:01:04"
"12","2","Закрыта","Закрыть","mdi-check-circle-outline","#558B2F","0","1","0","1","0","0","0","{""image"": 0, ""report"": 0, ""approvement"": 0, ""failure_type"": 0}",NULL,"2022-01-23 16:01:04","2022-01-23 16:01:04"
"13","2","Отменена","Отменить","mdi-close-circle-outline","#0277BD","0","1","0","1","1","1","0","{""image"": 0, ""report"": 1, ""approvement"": 0, ""failure_type"": 0}",NULL,"2022-01-23 16:01:04","2022-01-23 16:01:04"
"14","1","Возвращена на доработку","Вернуть на доработку","mdi-backup-restore","#D32F2F","0","0","0","0","0","1","0","{""image"": 0, ""report"": 1, ""approvement"": 0, ""failure_type"": 0}",NULL,"2022-01-23 16:20:47","2022-01-23 16:20:47"
"15","2","Возвращена на доработку","Вернуть на доработку","mdi-backup-restore","#D32F2F","0","0","0","0","0","1","0","{""image"": 0, ""report"": 1, ""approvement"": 0, ""failure_type"": 0}",NULL,"2022-01-23 16:20:57","2022-01-23 16:20:57"
"16","3","Поставлена","Вернуть на доработку","mdi-backup-restore","#D32F2F","1","0","0","0","0","1","0","{""image"": 0, ""report"": 1, ""approvement"": 0, ""failure_type"": 0}",NULL,"2022-01-30 11:38:28","2022-01-30 11:38:28"
"17","3","Принята","Принять в работу","mdi-play-circle-outline","#FFA000","0","0","0","0","0","1","0","{""image"": 0, ""report"": 0, ""approvement"": 0, ""failure_type"": 0}",NULL,"2022-01-30 11:38:28","2022-01-30 11:38:28"
"18","3","Выполнена","Отметить выполненной","mdi-stop-circle-outline","#AFB42B","0","1","0","0","0","1","0","{""image"": 0, ""report"": 1, ""operations"": 1, ""approvement"": 0, ""failure_type"": 1}",NULL,"2022-01-30 11:38:28","2022-01-30 11:38:28"
"19","3","Отложена","Отложить","mdi-pause-circle-outline","#AFB42B","0","0","1","0","0","1","0","{""image"": 0, ""report"": 1, ""approvement"": 1, ""failure_type"": 0}",NULL,"2022-01-30 11:38:28","2022-01-30 11:38:28"
"20","3","Закрыта","Закрыть","mdi-check-circle-outline","#558B2F","0","0","0","1","0","0","0","{""image"": 0, ""report"": 0, ""approvement"": 0, ""failure_type"": 0}",NULL,"2022-01-30 11:38:28","2022-01-30 11:38:28"
"21","3","Произошло самовосстановление","Отметить самовосстановившимся","mdi-recycle","#0097A7","0","1","0","0","0","1","0","{""image"": 0, ""report"": 0, ""approvement"": 0, ""failure_type"": 0}",NULL,"2022-01-30 11:38:28","2022-01-30 11:38:28"
"22","3","Отменена","Отменить","mdi-close-circle-outline","#0277BD","0","1","0","1","1","1","0","{""image"": 0, ""report"": 1, ""approvement"": 0, ""failure_type"": 0}",NULL,"2022-01-30 11:38:28","2022-01-30 11:38:28"
"23","4","Поставлена","Вернуть на доработку","mdi-backup-restore","#D32F2F","1","0","0","0","0","1","0","{""image"": 0, ""report"": 1, ""approvement"": 0, ""failure_type"": 0}",NULL,"2022-01-30 11:38:28","2022-01-30 11:38:28"
"24","4","Принята","Принять в работу","mdi-play-circle-outline","#FFA000","0","0","0","0","0","1","0","{""image"": 0, ""report"": 0, ""approvement"": 0, ""failure_type"": 0}",NULL,"2022-01-30 11:38:28","2022-01-30 11:38:28"
"25","4","Выполнена","Отметить выполненной","mdi-stop-circle-outline","#AFB42B","0","1","0","0","0","1","0","{""image"": 0, ""report"": 1, ""operations"": 1, ""approvement"": 0, ""failure_type"": 0}",NULL,"2022-01-30 11:38:28","2022-01-30 11:38:28"
"26","4","Отложена","Отложить","mdi-pause-circle-outline","#AFB42B","0","0","1","0","0","1","0","{""image"": 0, ""report"": 1, ""approvement"": 1, ""failure_type"": 0}",NULL,"2022-01-30 11:38:28","2022-01-30 11:38:28"
"27","4","Закрыта","Закрыть","mdi-check-circle-outline","#558B2F","0","0","0","1","0","0","0","{""image"": 0, ""report"": 0, ""approvement"": 0, ""failure_type"": 0}",NULL,"2022-01-30 11:38:28","2022-01-30 11:38:28"
"28","4","Отменена","Отменить","mdi-close-circle-outline","#0277BD","0","0","0","1","1","1","0","{""image"": 0, ""report"": 1, ""approvement"": 0, ""failure_type"": 0}",NULL,"2022-01-30 11:38:28","2022-01-30 11:38:28"
"29","3","Возвращена на доработку","Вернуть на доработку","mdi-backup-restore","#D32F2F","0","0","0","0","0","1","0","{""image"": 0, ""report"": 1, ""approvement"": 0, ""failure_type"": 0}",NULL,"2022-02-02 09:14:10","2022-02-02 09:14:10"
"30","4","Возвращена на доработку","Вернуть на доработку","mdi-backup-restore","#D32F2F","0","0","0","0","0","1","0","{""image"": 0, ""report"": 1, ""approvement"": 0, ""failure_type"": 0}",NULL,"2022-02-02 09:14:42","2022-02-02 09:14:42"
"31","1","Самовосстановление","Подтвердить самовосстановление","mdi-close-circle-outline","#0277BD","0","1","0","1","1","1","0","{""image"": 0, ""report"": 1, ""approvement"": 0, ""failure_type"": 0}",NULL,"2022-01-23 16:01:04","2022-01-23 16:01:04"
"32","5","Поставлена","Вернуть на доработку","mdi-backup-restore","#D32F2F","1","0","0","0","0","0","0","{""image"": 0, ""report"": 0, ""approvement"": 0, ""failure_type"": 0}",NULL,"2023-03-14 09:53:14","2023-03-28 08:35:57"
"33","5","Принята","Принять в работу","mdi-play-circle-outline","#FFA000","0","0","0","0","0","0","0","{""image"": 0, ""report"": 0, ""approvement"": 0, ""failure_type"": 0}",NULL,"2023-03-14 09:53:14","2023-03-14 09:53:14"
"34","5","Выполнена","Отметить выполненной","mdi-stop-circle-outline","#AFB42B","0","1","0","0","0","0","0","{""image"": 0, ""report"": 1, ""approvement"": 0, ""failure_type"": 1}",NULL,"2023-03-14 09:53:14","2023-03-28 08:35:57"
"35","5","Отложена","Отложить","mdi-pause-circle-outline","#AFB42B","0","0","0","0","0","0","0","{""image"": 0, ""report"": 1, ""approvement"": 0, ""failure_type"": 0}",NULL,"2023-03-14 09:53:14","2023-03-14 09:53:14"
"36","5","Закрыта","Закрыть","mdi-check-circle-outline","#558B2F","0","0","0","1","0","0","0","{""image"": 0, ""report"": 0, ""approvement"": 0, ""failure_type"": 0}",NULL,"2023-03-14 09:53:14","2023-03-28 08:35:57"
"37","5","Запрошена отмена","Запросить отмену","mdi-close-circle-outline","#0277BD","0","0","0","1","0","0","0","{""image"": 0, ""report"": 1, ""approvement"": 0, ""failure_type"": 0}",NULL,"2023-03-14 09:53:14","2023-03-28 08:35:57"
"38","5","Возвращена на доработку","Вернуть на доработку","mdi-backup-restore","#D32F2F","0","0","0","0","0","0","0","{""image"": 0, ""report"": 1, ""approvement"": 0, ""failure_type"": 0}",NULL,"2023-03-14 09:53:14","2023-03-14 09:53:14"
"39","5","Отменена","Отменить","mdi-close-circle-outline","#0277BD","0","0","0","1","0","0","0","{""image"": 0, ""report"": 1, ""approvement"": 0, ""failure_type"": 0}",NULL,"2023-03-14 09:53:14","2023-03-28 08:35:57"
